Nifty 50,sensex,BankBaroda(share price),volume,LTT,Bid-1,orders-1,Qty-1,Bid-2,orders-2,Qty-2,Bid-3,orders-3,Qty-3,Bid-4,orders-4,Qty-4,Bid-5,orders-5,Qty-5,Total-1,offer-1,orders-1,Qty-1,offer-2,orders-2,Qty-2,offer-3,orders-3,Qty-3,offer-4,orders-4,Qty-4,offer-5,orders-5,Qty-5,Total-2,Average_price
10791.60,36686.99,0,18139187.0,12:33:02,48.85,46.0,65811.0,48.8,56.0,68961.0,48.75,43.0,72128.0,48.7,123.0,73565.0,48.65,52.0,63593.0,3033524.0,48.9,21.0,10803.0,48.95,60.0,68574.0,49.0,96.0,118895.0,49.05,32.0,43563.0,49.1,50.0,54996.0,5174676.0,49.33
10791.30,36687.08,0,18139187.0,12:33:02,48.85,47.0,65861.0,48.8,56.0,68961.0,48.75,43.0,72128.0,48.7,123.0,73565.0,48.65,52.0,63593.0,3033574.0,48.9,21.0,10803.0,48.95,60.0,68574.0,49.0,96.0,118895.0,49.05,32.0,43563.0,49.1,50.0,54996.0,5174676.0,49.33
10791.60,36686.96,0,18139187.0,12:33:02,48.85,47.0,65861.0,48.8,56.0,68961.0,48.75,43.0,72128.0,48.7,123.0,73565.0,48.65,52.0,63593.0,3035574.0,48.9,21.0,10803.0,48.95,60.0,68574.0,49.0,96.0,118895.0,49.05,32.0,43563.0,49.1,50.0,54996.0,5174676.0,49.33
10791.00,36689.40,0,18139187.0,12:33:02,48.85,47.0,65861.0,48.8,56.0,68961.0,48.75,43.0,72128.0,48.7,123.0,73565.0,48.65,52.0,63593.0,3035574.0,48.9,21.0,10803.0,48.95,60.0,68574.0,49.0,96.0,118895.0,49.05,32.0,43563.0,49.1,50.0,54996.0,5174676.0,49.33
10792.30,36689.73,0,18140189.0,12:33:05,48.85,48.0,66268.0,48.8,56.0,68961.0,48.75,43.0,72128.0,48.7,123.0,73565.0,48.65,52.0,63593.0,3035983.0,48.9,18.0,6883.0,48.95,60.0,68004.0,49.0,96.0,118895.0,49.05,32.0,43563.0,49.1,49.0,54961.0,5170151.0,49.33
10793.35,36696.84,0,18140189.0,12:33:05,48.85,48.0,66268.0,48.8,56.0,68961.0,48.75,43.0,72128.0,48.7,123.0,73565.0,48.65,52.0,63593.0,3035483.0,48.9,18.0,6883.0,48.95,60.0,68004.0,49.0,96.0,118895.0,49.05,32.0,43563.0,49.1,49.0,54961.0,5170151.0,49.33
10793.35,36695.34,0,18140189.0,12:33:05,48.85,48.0,66268.0,48.8,56.0,68961.0,48.75,43.0,72128.0,48.7,123.0,73565.0,48.65,52.0,63593.0,3035383.0,48.9,18.0,6883.0,48.95,60.0,68004.0,49.0,96.0,118895.0,49.05,32.0,43563.0,49.1,49.0,54961.0,5170151.0,49.33
10793.05,36693.46,0,18142739.0,12:33:10,48.85,47.0,65518.0,48.8,58.0,70536.0,48.75,43.0,72128.0,48.7,123.0,73565.0,48.65,52.0,63593.0,3036209.0,48.9,12.0,5957.0,48.95,61.0,68204.0,49.0,96.0,118895.0,49.05,32.0,43563.0,49.1,49.0,54961.0,5169425.0,49.33
10793.65,36694.55,0,18142739.0,12:33:10,48.85,47.0,65518.0,48.8,58.0,70536.0,48.75,43.0,72128.0,48.7,123.0,73565.0,48.65,52.0,63593.0,3036209.0,48.9,12.0,5957.0,48.95,61.0,68204.0,49.0,96.0,118895.0,49.05,32.0,43563.0,49.1,49.0,54961.0,5169425.0,49.33
10792.80,36694.32,0,18142740.0,12:33:12,48.85,49.0,65868.0,48.8,59.0,70596.0,48.75,43.0,72128.0,48.7,123.0,73565.0,48.65,52.0,63593.0,3036559.0,48.9,13.0,5957.0,48.95,61.0,68204.0,49.0,96.0,118895.0,49.05,32.0,43563.0,49.1,49.0,54961.0,5169425.0,49.33
10792.55,36691.92,0,18142744.0,12:33:13,48.85,49.0,65866.0,48.8,59.0,70596.0,48.75,43.0,72128.0,48.7,123.0,73565.0,48.65,52.0,63593.0,3036557.0,48.9,14.0,5956.0,48.95,61.0,68204.0,49.0,96.0,118895.0,49.05,33.0,43895.0,49.1,49.0,54961.0,5169754.0,49.33
