Nifty 50,sensex,BankBaroda(share price),volume,LTT,Bid-1,orders-1,Qty-1,Bid-2,orders-2,Qty-2,Bid-3,orders-3,Qty-3,Bid-4,orders-4,Qty-4,Bid-5,orders-5,Qty-5,Total-1,offer-1,orders-1,Qty-1,offer-2,orders-2,Qty-2,offer-3,orders-3,Qty-3,offer-4,orders-4,Qty-4,offer-5,orders-5,Qty-5,Total-2,Average_price
10641.80,36189.65,0,8782764.0,12:33:00,342.2,1.0,16.0,342.15,1.0,375.0,342.1,6.0,505.0,342.05,2.0,419.0,342.0,11.0,2413.0,699680.0,342.3,2.0,337.0,342.35,3.0,8.0,342.4,5.0,602.0,342.45,1.0,2.0,342.5,7.0,5947.0,683188.0,342.07
10642.15,36190.17,0,8782764.0,12:33:00,342.2,1.0,16.0,342.15,2.0,410.0,342.1,6.0,540.0,342.05,2.0,419.0,342.0,10.0,2033.0,699370.0,342.3,2.0,337.0,342.35,5.0,46.0,342.4,5.0,602.0,342.5,7.0,5947.0,342.55,6.0,1200.0,683224.0,342.07
10640.70,36189.90,0,8782764.0,12:33:00,342.2,1.0,16.0,342.15,2.0,410.0,342.1,6.0,540.0,342.05,2.0,419.0,342.0,10.0,2033.0,699371.0,342.3,2.0,337.0,342.35,5.0,46.0,342.4,5.0,602.0,342.5,7.0,5947.0,342.55,6.0,1200.0,683224.0,342.07
10640.70,36189.90,0,8782765.0,12:33:05,342.2,1.0,16.0,342.15,2.0,410.0,342.1,6.0,540.0,342.05,2.0,419.0,342.0,12.0,2258.0,702246.0,342.3,2.0,336.0,342.35,5.0,46.0,342.4,5.0,602.0,342.5,7.0,7947.0,342.55,6.0,1200.0,685477.0,342.07
10640.85,36188.74,0,8782922.0,12:33:06,342.15,1.0,35.0,342.1,4.0,219.0,342.05,2.0,419.0,342.0,14.0,2365.0,341.95,4.0,1646.0,701605.0,342.2,1.0,50.0,342.3,2.0,179.0,342.35,5.0,46.0,342.4,5.0,602.0,342.5,7.0,7947.0,685370.0,342.07
10640.80,36189.90,0,8783222.0,12:33:08,342.2,1.0,50.0,342.15,2.0,106.0,342.1,3.0,119.0,342.05,3.0,455.0,342.0,13.0,2294.0,701611.0,342.3,1.0,257.0,342.35,4.0,10.0,342.4,5.0,602.0,342.45,1.0,36.0,342.5,6.0,7747.0,684864.0,342.07
10641.30,36191.14,0,8783247.0,12:33:09,342.2,2.0,275.0,342.15,2.0,106.0,342.1,3.0,119.0,342.05,2.0,419.0,342.0,14.0,2394.0,702050.0,342.3,1.0,257.0,342.35,3.0,5.0,342.4,4.0,432.0,342.45,1.0,36.0,342.5,6.0,7747.0,685358.0,342.07
10641.50,36190.65,0,8784560.0,12:33:10,342.25,4.0,319.0,342.2,4.0,513.0,342.15,3.0,107.0,342.1,3.0,338.0,342.05,7.0,3108.0,705682.0,342.3,1.0,328.0,342.35,2.0,7.0,342.4,3.0,308.0,342.45,2.0,2.0,342.5,6.0,7747.0,685634.0,342.07
10643.40,36191.35,0,8786282.0,12:33:12,342.25,3.0,284.0,342.2,4.0,513.0,342.15,3.0,72.0,342.1,3.0,189.0,342.05,7.0,1995.0,705936.0,342.3,2.0,622.0,342.35,2.0,7.0,342.4,4.0,309.0,342.45,1.0,1.0,342.5,9.0,8347.0,686139.0,342.07
10643.90,36191.03,0,8786282.0,12:33:12,342.25,4.0,320.0,342.2,4.0,513.0,342.15,2.0,36.0,342.1,3.0,189.0,342.05,7.0,1995.0,705936.0,342.3,2.0,622.0,342.35,2.0,7.0,342.4,4.0,309.0,342.45,1.0,1.0,342.5,10.0,8722.0,686139.0,342.07
